[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:09] CPU TRAINING STARTED
[2026-09-17 18:13:09] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:13:09] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:13:09] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:15:33] Elapsed: 2.40 min | System CPU: 56.9% | System RAM: 80.3% (12.64/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1449.03 MB
[2026-09-17 18:15:35] Elapsed: 2.43 min | System CPU: 56.3% | System RAM: 80.1% (12.60/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1447.98 MB
[2026-09-17 18:15:37] Elapsed: 2.47 min | System CPU: 55.7% | System RAM: 80.0% (12.59/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1447.20 MB
[2026-09-17 18:15:39] Elapsed: 2.50 min | System CPU: 53.2% | System RAM: 79.9% (12.57/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1448.44 MB
[2026-09-17 18:15:41] Elapsed: 2.53 min | System CPU: 53.4% | System RAM: 79.7% (12.54/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1447.40 MB
[2026-09-17 18:15:43] Elapsed: 2.57 min | System CPU: 54.8% | System RAM: 79.6% (12.53/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1444.81 MB
[2026-09-17 18:15:45] Elapsed: 2.60 min | System CPU: 53.3% | System RAM: 79.7% (12.53/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1451.81 MB
[2026-09-17 18:15:47] Elapsed: 2.63 min | System CPU: 54.3% | System RAM: 79.7% (12.54/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1448.29 MB
[2026-09-17 18:15:49] Elapsed: 2.67 min | System CPU: 60.0% | System RAM: 80.2% (12.62/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1484.02 MB
[2026-09-17 18:15:51] Elapsed: 2.70 min | System CPU: 61.1% | System RAM: 80.1% (12.60/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1448.14 MB
